objID,ra,dec,mjd,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,Num
1237645879556309012,0.935678204384885,1.11585285201004,51075,17.99413,0.01529326,16.80482,0.01098583,16.66732,0.01270913,16.61098,0.01531526,16.61647,0.01702379,4099.0
1237645879556309011,0.935649944553006,1.11587783361854,51075,17.99545,0.01528907,16.80476,0.01098564,16.66774,0.0127091,16.61166,0.01531535,16.61724,0.01701843,4099.0
1237657364296564771,0.935669486518009,1.11584406354261,52253,18.42209,0.02127595,17.24211,0.01927526,16.92062,0.02507975,16.81787,0.01116905,16.78242,0.01884597,4099.0
1237657364296564770,0.935667335075038,1.11584937056045,52253,18.42841,0.02471061,17.242,0.01927473,16.92056,0.02507932,16.81862,0.01116861,16.78826,0.01886298,4099.0
1237660237643448370,0.935688567919556,1.11584709842639,52578,18.16568,0.05471373,17.06773,0.02777545,16.81843,0.02842602,16.76635,0.01391513,16.73186,0.01699972,4099.0
1237660237643448369,0.935696125958998,1.11584331648855,52578,18.16665,0.0547128,17.06813,0.02777545,16.81897,0.02842599,16.76782,0.01391579,16.73623,0.01700901,4099.0
1237663205451431961,0.935680925819042,1.11585097114608,52908,18.25236,0.02541145,17.0852,0.01746964,16.79168,0.01408134,16.72014,0.01473671,16.67815,0.01827087,4099.0
1237663205451431960,0.935686967497247,1.11584271752705,52908,18.25319,0.02633532,17.0855,0.01746952,16.79168,0.01408106,16.7214,0.0147629,16.6752,0.01825055,4099.0
1237663312824958979,0.935699567953165,1.11583444253941,52911,18.28322,0.02552674,16.94364,0.01304575,16.80503,0.02134927,16.75256,0.01802626,16.73226,0.02447963,4099.0
1237663312824958977,0.935690798103892,1.11582770536928,52911,18.28454,0.02593699,16.9436,0.01304507,16.80551,0.02136811,16.75457,0.01802601,16.73495,0.0246604,4099.0
1237663312824958978,0.935699567953165,1.11583444253941,52911,18.28322,0.02551938,16.94364,0.01304542,16.80503,0.02134894,16.75256,0.0180249,16.73226,0.02466231,4099.0
1237663463148617750,0.935687384815982,1.11584553912439,52930,18.35166,0.02864026,17.17393,0.02028135,16.82549,0.03623638,16.76888,0.02223117,16.6939,0.01822097,4099.0
1237663463148617749,0.935697147433595,1.11584408904302,52930,18.35103,0.02906675,17.17408,0.02028113,16.82572,0.03623632,16.76907,0.02223097,16.69624,0.01822211,4099.0
1237663506114805772,0.935678447730993,1.11586367648307,52934,18.46603,0.02519724,17.29486,0.02043005,17.00303,0.01412384,16.86354,0.01588394,16.8364,0.01916738,4099.0
1237663506114805771,0.935685020906647,1.11586034580767,52934,18.46542,0.02516674,17.29485,0.02042964,17.00318,0.01412338,16.86417,0.0158841,16.84158,0.02024873,4099.0
1237663742321360925,0.93569173877907,1.11583428316644,52962,18.1906,0.02807839,16.93908,0.0183204,16.75497,0.01628692,16.67254,0.01740793,16.66104,0.01553759,4099.0
1237663742321360924,0.935692275872157,1.11583421618864,52962,18.18911,0.02806079,16.93908,0.01832024,16.75524,0.01628671,16.67271,0.01740768,16.66248,0.01553433,4099.0
1237666302144610308,0.93568667050954,1.11585387161258,53270,18.35483,0.02982664,17.21796,0.01730785,16.82662,0.02260168,16.74894,0.0119125,16.5667,0.02188083,4099.0
1237666340792696888,0.935709396243411,1.11583532412437,53272,18.50492,0.02285957,17.29098,0.01712997,16.95758,0.01221757,16.83549,0.01621281,16.78508,0.01593163,4099.0
1237666340792696889,0.935695324373114,1.11583645837314,53272,18.50473,0.02287654,17.28949,0.01712904,16.95656,0.01221713,16.83457,0.01621263,16.78056,0.01591888,4099.0
1237666340792762370,0.935680439974121,1.11584089067949,53272,18.48351,0.05053398,17.27835,0.01641768,16.9525,0.01235508,16.8368,0.01413466,16.79081,0.01463507,4099.0
1237666340792762369,0.935695563986172,1.11583849741763,53272,18.47967,0.05050789,17.27712,0.01641675,16.95175,0.01235429,16.83696,0.01413435,16.78931,0.01461934,4099.0
1237666383732801560,0.93566756887509,1.11584845455928,53286,18.35092,0.02176964,17.10943,0.0166298,16.78814,0.02001269,16.72039,0.01619358,16.67595,0.02462186,4099.0
1237666383732801559,0.935674887104625,1.11584966210313,53286,18.35122,0.02174744,17.10982,0.01662972,16.78831,0.02001244,16.72085,0.01619345,16.67449,0.02472205,4099.0
1237666409516564510,0.93568516053341,1.11585699130291,53288,18.2936,0.02891899,17.15393,0.03049126,16.84681,0.015543,16.75428,0.0145635,16.733,0.01671331,4099.0
1237666409516564509,0.935687289312,1.1158554943073,53288,18.29321,0.02921751,17.15402,0.03049117,16.84712,0.0155429,16.75456,0.01456362,16.73496,0.01671541,4099.0
1237666499685646356,0.935672431009579,1.11583859317166,53294,18.47148,0.02475704,17.33455,0.01731813,17.04556,0.01914218,16.88759,0.01545609,16.85504,0.02115714,4099.0
1237666499685646355,0.935677414920178,1.11583771775129,53294,18.47498,0.02475174,17.33432,0.01731753,17.04773,0.01914331,16.88831,0.01545605,16.859,0.02189972,4099.0
1237666637145309205,0.935690348674768,1.11585137452176,53312,18.48363,0.04266003,17.29729,0.009997288,16.9811,0.008303815,16.84809,0.02113951,16.82771,0.01345971,4099.0
1237666637145309204,0.935694363196035,1.11584309701018,53312,18.48488,0.044503,17.29729,0.009996432,16.98141,0.008303104,16.84864,0.02113944,16.82721,0.01344219,4099.0
1237666662915833875,0.935684067491934,1.11584543914082,53314,18.55183,0.02460541,17.37563,0.03013397,17.01558,0.01524587,16.92806,0.01304586,16.87342,0.02010097,4099.0
1237666662915833874,0.935690853890321,1.11584457277543,53314,18.55035,0.0245721,17.37597,0.03013387,17.01612,0.01524575,16.9288,0.01304609,16.87237,0.02153822,4099.0
1237660010011885595,0.93568479451892,1.11581439512172,52557,18.30624,0.02181663,17.15793,0.01459106,16.86162,0.01704966,16.74723,0.01403597,16.66841,0.01714597,4099.0
1237660010011885594,0.935694435149458,1.11581615169254,52557,18.30485,0.02178831,17.15798,0.01459071,16.86204,0.01704958,16.7483,0.01403652,16.66619,0.01802125,4099.0
1237656853194735619,0.935693544609421,1.11587587984395,52196,18.58715,0.01567371,17.35025,0.01916244,17.08054,0.01804673,16.95354,0.01324031,16.90264,0.01774466,4099.0
1237656853194735617,0.935700235166962,1.11587233702178,52196,18.58753,0.01620832,17.35033,0.01916225,17.08105,0.01804673,16.9537,0.0132398,16.9023,0.01786924,4099.0
1237656853194735618,0.935693544789103,1.11587588011533,52196,18.5871,0.01561357,17.35025,0.01916244,17.08054,0.01804673,16.95344,0.01324009,16.90264,0.01787743,4099.0
1237656909039861764,0.935684585836725,1.11586742890324,52197,18.45451,0.04541451,17.23475,0.02520036,16.88572,0.01531851,16.77516,0.0190954,16.77464,0.02049067,4099.0
1237656909039861763,0.93569210965785,1.11587152444125,52197,18.45305,0.04572948,17.23519,0.02520035,16.88589,0.01531829,16.7752,0.01909512,16.77732,0.0204969,4099.0
1237657106596954114,0.935682059314047,1.11586575963757,52225,18.56906,0.03365564,17.34058,0.02038385,17.08348,0.02152963,16.96705,0.01730535,16.91751,0.01437698,4099.0
1237657106596954113,0.935691716920758,1.11587126041443,52225,18.57102,0.03364476,17.34095,0.0203985,17.08371,0.02152945,16.96856,0.01730611,16.92268,0.01476307,4099.0
1237657192516223012,0.935699699338443,1.11585095573088,52231,18.21643,0.01704714,17.02078,0.0177635,16.77098,0.01012529,16.69767,0.01396946,16.67094,0.01531519,4099.0
1237657192516223011,0.935703111325779,1.11585510331143,52231,18.21645,0.01738048,17.02095,0.01776345,16.77114,0.01012519,16.69802,0.01396943,16.67153,0.01531188,4099.0
1237663544770166786,0.935699568561404,1.11585225086369,52936,18.56672,0.02301243,17.33121,0.01923783,17.05592,0.02133716,16.93341,0.01084561,16.89128,0.01859,4099.0
